url	download_complete
fano.ics.uci.edu/cites/Organization/Univ-of-Nevada-Los-Vegas-Dept-of-Computer-Science.html	complete
www.ics.uci.edu/~stasio/winter06/Lectures/Lec7code/ComparableExample?C=S;O=D	complete
fano.ics.uci.edu/cites/Organization/Univ-de-Rouen-Lab-dInformatique-(LIR).html	complete
www.ics.uci.edu/~stasio/winter06/Lectures/Lec7code/ComparableExample?C=S;O=A	complete
www.ics.uci.edu/~mopy/index.html	complete
www.ics.uci.edu/~eppstein/gina/medic.html	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
fano.ics.uci.edu/cites/Location/Proc-7th-Int-Conf-Numerical-Grid-Generation-in-Computational-Field-Simulations.html	incomplete
www.ics.uci.edu/~goodrich/teach/geom/hw/midterm1.html	complete
www.ics.uci.edu/~sjordan/courses/cs132/paper.html	complete
www.ics.uci.edu/~eppstein/junkyard/quad-area.html	complete
vision.ics.uci.edu/people/12.html	complete
fano.ics.uci.edu/cites/Author/Mario-Gerla.html	complete
fano.ics.uci.edu/cites/Location/Proc-Int-Conf-Parallel-and-Distributed-Processing-Techniques-and-Applications-(PDPTA-2001).html	complete
www.ics.uci.edu/~mjcarey/MJCarey_Patents.html	complete
www.ics.uci.edu/~minhaenl/lab?C=N;O=D	complete
www.ics.uci.edu/~minhaenl/lab?C=N;O=A	complete
www.ics.uci.edu/~dvk/GDF	complete
fano.ics.uci.edu/cites/Publication/Caz-ICGA-02.html	complete
fano.ics.uci.edu/cites/Organization/IBM-Deutschland-Speichersysteme-GmbH.html	complete
fano.ics.uci.edu/cites/Organization/Southern-Poro-Communications.html	complete
fano.ics.uci.edu/cites/Author/Komei-Fukuda.html	complete
fano.ics.uci.edu/cites/Organization/California-State-Univ-Fullerton-Engineering-+-Computer-Science.html	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2018	complete
fano.ics.uci.edu/cites/Organization/Rice-Univ-Dept-of-Mechanical-Engineering-+-Materials-Science.html	incomplete
sherlock.ics.uci.edu/people.html	complete
fano.ics.uci.edu/cites/Author/Hans-Peter-Lenhof.html	complete
www.ics.uci.edu/~sjordan/research/dca.html	complete
www.ics.uci.edu/~eppstein/junkyard/all.html	complete
fano.ics.uci.edu/cites/Organization/John-Wiley-+-Sons.html	complete
fano.ics.uci.edu/cites/Author/Fedor-V-Fomin.html	complete
fano.ics.uci.edu/cites/Publication/BadIndSid-SODA-07.html	complete
fano.ics.uci.edu/cites/Location/Proc-12th-Int-Conf-in-Central-Europe-on-Computer-Graphics-Visualization-and-Computer-Vision-(WSCG-2004).html	complete
mhcid.ics.uci.edu/program/events/career-conference	complete
www.ics.uci.edu/~dan/class/161/hw4.html	complete
fano.ics.uci.edu/cites/Author/Liisa-Raeihae.html	complete
fano.ics.uci.edu/cites/Organization/Univ-Kaiserslautern-Fachb-Informatik.html	complete
www.ics.uci.edu/~eppstein/junkyard/pick3d.html	complete
www.ics.uci.edu/~eppstein/junkyard/hyperpack.html	complete
fano.ics.uci.edu/cites/Location/Proc-10th-Int-Symp-Graph-Drawing-(GD-2002).html	complete
www.ics.uci.edu/about/search/search_business.php	complete
www.ics.uci.edu/~goodrich/teach/ics160e/2003	complete
vision.ics.uci.edu/people/29.html	complete
www.ics.uci.edu/%7elab/labs_specs/hardware.php	complete
fano.ics.uci.edu/cites/Publication/Fol-CCCG-96.html	complete
fano.ics.uci.edu/cites/Location/Astronomy-+-Astrophysics.html	complete
fano.ics.uci.edu/cites/Publication/AgaShaWel-SCG-97.html	complete
www.ics.uci.edu/~dechter/courses/ics-276/spring-18	complete
fano.ics.uci.edu/cites/Document/Small-maximal-independent-sets-and-faster-exact-graph-coloring.html	complete
fano.ics.uci.edu/cites/Location/Proc-19th-Symp-Discrete-Algorithms.html	complete
fano.ics.uci.edu/cites/Publication/EreBelMor-CDC-02.html	complete
fano.ics.uci.edu/cites/Document/Implicit-and-nonparametric-shape-reconstruction-from-unorganized-data-using-a-variational-level-set-method-.html	complete
www.ics.uci.edu/~eppstein/gina/voronoi.html	complete
fano.ics.uci.edu/cites/Document/Graph-modeling-of-metabolism.html	complete
www.ics.uci.edu/~pazzani/Slides/MLC94/sld004.htm	complete
vision.ics.uci.edu/papers/YarkonyF_NIPS_2015	complete
www.ics.uci.edu/~dgillen	complete
i-sensorium.ics.uci.edu/partnerships.html	complete
www.ics.uci.edu/~eppstein/numth/2adic.c	complete
fano.ics.uci.edu/cites/Organization/Hofstra-Univ-Mathematics-Dept.html	complete
fano.ics.uci.edu/cites/Organization/Sharif-Univ-of-Technology-Electrical-Engineering-Dept.html	complete
www.ics.uci.edu/~eppstein/recmath.html	complete
fano.ics.uci.edu/cites/Location/Proc-15th-Symp-Combinatorial-Pattern-Matching.html	complete
fano.ics.uci.edu/cites/Publication/RamSad-SODA-07.html	complete
www.ics.uci.edu/~dvk/pub/ICDE09_dvk_demo.html	complete
fano.ics.uci.edu/cites/Organization/Kutztown-Univ-Mathematics-and-CIS-Dept.html	complete
fano.ics.uci.edu/cites/Location/Proceedings-in-Informatics.html	complete
mailman.ics.uci.edu/mailman/private/hana-culture	complete
www.ics.uci.edu/~dan/genealogy/Miller/langsam/lngsm-h.htm	complete
www.ics.uci.edu/ugrad/internship	complete
mailman.ics.uci.edu/mailman/private/visionturk	complete
www.ics.uci.edu/~dechter/gradstudents.html	complete
www.ics.uci.edu/~softtest/adamakegen.html	complete
fano.ics.uci.edu/cites/Location/Contemporary-Mathematics.html	complete
www.ics.uci.edu/~eppstein/gina/compiler.html	complete
www.ics.uci.edu/~shallman	complete
fano.ics.uci.edu/cites/Location/Mathematics-of-Computation.html	complete
fano.ics.uci.edu/cites/Location/IEEE-J-Selected-Areas-in-Communications.html	complete
